job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
Accounting Officer_Rebate,Publish Date：Aug-22-2022,Closing Date：Sep-21-2022,Middle,1,1,Negotiable,Male/Female,18 ~ 35,Full Time,Accounting,General Business Services,Bachelor Degree,English-- Good,Phnom Penh, Bachelor’s Degree in accounting or relevant fields At least 1 years of experience in a comparable position in another industry Good in Khmer and English both verbal and written Knowledge of Accounting standard and Cambodia Taxation is desirable Good in computer Microsoft application and other accounting software Ability to perform under pressure and positive attitude Good Health condition & teamwork Willing to learn new things Creative perception and honestly Able to work rotate weekend or holiday
IT SENIOR OFFICER,Publish Date：Sep-07-2022,Closing Date：Oct-07-2022,Middle,3,1,Negotiable,Male/Female,18 ~ 35,Full Time,IT,General Business Services,Bachelor Degree,English-- Good,Phnom Penh,"- Working experiences at least 3 years in same field - Experience with system installation, configuration, and analysis- Thorough knowledge of networks, server, storage, IT security- Knowledge of data protection operations and legislation - Leadership and organizational skills- Outstanding communication skills- Problem-solving aptitude- Bachelor degree in Computer Science, IT or relevant field- Ability to perform under pressure- Good Health condition- Able to work on Holiday or weekend or overnight- Able to be self-learning- Computer literature software, SAP & other Profit system is advantage - Good in Khmer and English"
Education &Training Senior Officer at AEON (AEON PHNOM PENH)),Publish Date：Sep-02-2022,Closing Date：Oct-02-2022,Middle,2,1,Negotiable,Male/Female,18 ~ 35,Full Time,Human Resource,General Business Services,Bachelor Degree,English-- Good,Phnom Penh，Phnom Penh,". Bachelor Degree of Education or relevant field . Having at least 2 years experience in training • To provide friendly, courteous and professional service at all times.• To maintain good working relationships with colleagues and all other departments• To attend training sessions and meetings as and when required"
AEON MAXVALU OPERATIONS MANAGER,Publish Date：Aug-26-2022,Closing Date：Sep-25-2022,Senior,3,1,Negotiable,Male/Female,18 ~ 35,Full Time,Operation/Production,General Business Services,Bachelor Degree,English-- Fair,Phnom Penh,✓ Bachelor’s Degree in Management or relevant fields✓ At least 3 years of experience in a comparable position in another industry✓ Good in Khmer and English both verbal and written✓ Knowledge of Merchandising and Operation is desirable✓ Good in computer Microsoft application and other accounting software✓ Ability to perform under pressure and positive attitude✓ Good Health condition & teamwork✓ Willing to learn new things✓ Creative perception and honestly✓ Able to work rotate weekend or holiday
Pharmacist,Publish Date：Aug-31-2022,Closing Date：Sep-30-2022,Entry Level,1,2,Negotiable,Male/Female,18 ~ 35,Full Time,Medical/Health/Nursing,General Business Services,Bachelor Degree,English-- Fair,Phnom Penh,"• Bachelor Degree in Pharmacy (fresh graduate are encouraged to apply)• Good knowledge of health and beauty products, enjoy working with customer and developing healthy relationship.• Positive attitude individual and passionate. • At least 1 year experience retail in pharmacy • Good in communication, interpersonal skill and good time management. • Good Khmer and English both verbal and written.• Able to work rotate weekend or holiday."
Field Sales Executive,Publish Date：Aug-29-2022,Closing Date：Sep-28-2022,Senior,2,2,Negotiable,Male/Female,20 ~ 30,Full Time,Sales,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Good,Phnom Penh,"- Bachelor’s Degree in Business Studies/ Sales; Marketing/ Foreign Trade /Economics or equivalent- 2 to 3 years experience in related field is preferable- Good command of English, Chinese is a plus- Good computer skills (Word, Excel, PowerPoint, etc.)- Good communication skill, efficiency in time management, high accuracy and patience and problem-solving skill- Self-management (Planning, Organizing & Goal Setting, Execution)- Customer service skills (Creative, Active, High Discipline and Team Player)** How to apply:Interested candidates are required to submit CV with recent photo and cover letter to kh.sm.pnh.recruitment@dbschenker.com.Please state the word of position you apply in the subject line of your email and indicate your salary expectation on your application.Only shortlisted candidates will be contacted for interviews."
Air Document Processing Coordinator,Publish Date：Aug-29-2022,Closing Date：Sep-28-2022,Entry Level,~,1,Negotiable,Male/Female,18 ~ 25,Full Time,Logistics/Shipping/Deliver/Warehouse,Manufacturing,Bachelor Degree,English-- Good,Phnom Penh,"- Bachelor’s Degree in Business administration or equivalent- Fresh graduates are encouraged to apply- Experience in related functions of international freight/ forwarding/ logistic company is preferable- Self-organized (prioritize, plan, execute, self-control)- Good interpersonal and written and verbal communication skills.- Communication skills (English), spoken and written, Chinese is an advantage- Flexible and able to work under tight deadlines- Customer service skills, creative, active, high discipline and team player- Good in Microsoft office applications (Word, Excel, PowerPoint, etc.)** How to apply:Interested candidates are required to submit CV with recent photo and cover letter tokh.sm.pnh.recruitment@dbschenker.com.Please state the word of position you apply in the subject line of your email and indicate your salary expectation on your application.* Only shortlisted candidates will be contacted for interviews."
F&B Manager,Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Senior,5,1,$1000-$2000,Male/Female,Age Unlimited,Full Time,Hotel/Hospitality,Hotel/Hospitality,Bachelor Degree,English-- Good,Phnom Penh,
"Consultant, Strategic Projects",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,3,1,Negotiable,Male/Female,25 ~ 45,Full Time,Consultancy,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"•Excellent academic and extracurricular record in a top-tier university in accounting, finance, economics, and/or business management; An MBA or related postgraduate degree or qualification is an advantage•Preferably 2 to 3 years of experience in a leading management consulting, corporate finance, M&A or valuations, investment, strategy, or professional digital consulting experience•Experience and strong interest in finance and strategy – particularly in SME advisory•Experience and strong interest in working in a highly agile environment•Experience working in multicultural teams is an advantage•Knowledge and understanding of classical management consulting methodologies and problem-solving approaches•Strong knowledge and understanding of financial data analytics, analysis and modelling techniques, and financial statements•Strong knowledge of project research and analysis, qualitative and quantitative research•Strong practical knowledge in using the Microsoft Suite particularly in Excel and PowerPoint•Stron..."
"Manager, Investor Relations",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,5,1,Negotiable,Male/Female,25 ~ 45,Full Time,Sales,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Bachelor’s degree in sales & marketing, business admin, management or related • At least 5 years of working experience in sales, business development, or related • Proven track record of meeting/exceeding your sales targets.• Strong experience within consultative sales and possess the ability to prospect and manage senior level relationships.• Ability in monitoring and evaluating sales rep progress against stated expectations and motivating them to meet with performance expectations• Excellent interpersonal as well as written and verbal communication skills.• Strong networker, relationship builder and good problem-solving skill"
Digital Product Development Specialist,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,5,1,Negotiable,Male/Female,25 ~ 45,Full Time,Media/Advertising,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,• Bachelor’s degree in related field;• At least 3-5 years of experience in project coordination;• Strong working knowledge of Microsoft Office and of project management tools;• Excellent client-facing and internal communication skills;• Excellent written and verbal communication skills;• Ability to execute under accelerated timeframes and to quickly adapt to changes;• Analysis skills/ Critical thinking;• Assist to supervisor/manager other assignment tasks;• Planning and coordinating;• Customer focus;• Concern for quality and standards
Content Creator,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,3,1,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"- Bachelor's degree in English, Journalism, Marketing, or Communications- Have 3-5 years experiences in content marketing or copywriting, preferably with an agency- Knowledge of Microsoft Office Applications- Strong creative thinking skills and ability to think conceptually- Comfortable working independently with little direction under tight deadlines"
Global Multilingual Ambassador,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Entry Level,~,10,Negotiable,Male/Female,18 ~ 30,Part Time,Others,Real Estate,No limitations,Others-- Good,Phnom Penh,"• No experience is required (experience in Research is a beneficial) • Possess one or multiple languages is required (French, Chinese, Spanish, Hindi, Indonesian, German, Arabic, or any other)• Committed, Energetic, Curious, Self-motivated, Detail-oriented, & Independent• A long-term self-determined to learn and grow"
"Portfolio Manager, Strategic Partner Portfolios",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,3,1,Negotiable,Male/Female,25 ~ 45,Full Time,Management,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"•Excellent academic and extracurricular record in a top-tier university in accounting, finance, economics, and/or business management; An MBA or related postgraduate degree or qualification is an advantage•At least 3 to 5 years of experience in a leading management consulting/financial consulting/investment/venture capital or relevant professional portfolio management firm•Experience and strong interest in finance and strategy – particularly in SME advisory•Experience and strong interest in working in a highly agile environment•Experience as an account manager is an advantage•Experience working in multicultural teams is an advantage•Strong knowledge and understanding of financial data analytics, analysis and modelling techniques, and financial statements•Strong knowledge of project research and analysis, qualitative and quantitative research•Strong practical knowledge in using the Microsoft Suite particularly in Excel and PowerPoint•Knowledge of designing business models and business plans is an advantage•..."
Media Planner,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,5,1,Negotiable,Male/Female,25 ~ 45,Full Time,Media/Advertising,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Bachelor's degree in communication, marketing, advertising, business admin or other.• At least 5 years of working experience in media planning or related.• Experience with media planning, broadcasting, advertising and other• Deep knowledge of cost & effectiveness of broadcasting channels such as newspapers, magazines, billboards, direct mail, radio stations, and TV etc.• Strong communication and presentation skills.• Analytical thinking and problem-solving abilities.• Organizational and time management skills."
Senior Operation Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,2,5,Negotiable,~,Age Unlimited,Full Time,Operation/Production,Real Estate,Bachelor Degree,~,Phnom Penh,"● Minimum Bachelor’s degree in Business or in related fields. ● Minimum 3-year experience in similar role ● Good at English & Chinese is a plus● Good knowledge of digital business ● Has the systematic thinking capacity ● Good at technology, especially computers, and phone systems● Strong understanding of company products, policies, and services● Good at problem solving, leadership, and customer service skills● Analytical, efficient, and thorough"
Property Agent,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Entry Level,~,10,Negotiable,Male/Female,18 ~ 30,Full Time,Sales,Real Estate,Associate Degree,Khmer-- Mother Tongue English-- Good,Phnom Penh,"- No experience in real estate is needed. Experience in sales outdoor is a plus- No requirement for education, but must be able to have good communication skills in English and Khmer- Knowledgeable of MS Word, Excel and PowerPoint- Must be full of energy."
iOS Developer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Entry Level,1,1,Negotiable,Male/Female,20 ~ 30,Full Time,IT,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Good,Phnom Penh,"- Minimum 1 years of experience in mobile app development (iOS)
- Proficiency in Objective C or Swift on iPad and iPhone
- Knowledge of basic OOP and its essential factors (Not only definition)
- Familiar with MVP design pattern and clean architecture
- Experience in understanding large codebases, including API design techniques to help keep
them clean and maintainable
- Experience with REST-based APIs and JSON
- High understanding client's requirements for the business domain of the product
- Can review codes for other developers and understand how to write codes as readable"
"Portfolio Manager, Strategic Partner Portfolios",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,3,1,Negotiable,Male/Female,25 ~ 45,Full Time,Management,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"•Excellent academic and extracurricular record in a top-tier university in accounting, finance, economics, and/or business management; An MBA or related postgraduate degree or qualification is an advantage•At least 3 to 5 years of experience in a leading management consulting/financial consulting/investment/venture capital or relevant professional portfolio management firm•Experience and strong interest in finance and strategy – particularly in SME advisory•Experience and strong interest in working in a highly agile environment•Experience as an account manager is an advantage•Experience working in multicultural teams is an advantage•Strong knowledge and understanding of financial data analytics, analysis and modelling techniques, and financial statements•Strong knowledge of project research and analysis, qualitative and quantitative research•Strong practical knowledge in using the Microsoft Suite particularly in Excel and PowerPoint•Knowledge of designing business models and business plans is an advantage•..."
"Sales Executive, Education",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,2,Negotiable,Male/Female,18 ~ 25,Full Time,Sales,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor Degree in Sale and Marketing or business field • Interest in the educational sector. • Professional Communications in English and Khmer • Ability to listen to clients and hear their needs. • Motivated to produce sales. • Experience working in sales or with clients, a minimum of 2 years.• Aspired to the company’s core values: Responsibility, Development, Communication, Proactiveness, Openness, and Drive. • Available to work occasionally on the weekend"
Ecommerce Manager,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,Age Unlimited,Full Time,Others,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Excellent numerical and analytical skills with a commercial drive• Strong communication skills• Excellent organizational and project management skills essential• Technical experience with ecommerce platforms• Knowledge of digital marketing channels• Excellent attention to detail• Team player and willingness to support the wider team• Flexible and responsive to change• Self-motivated, confident and assertive• Possess a forward-thinking working ethic in order to drive the business forward• Strong attention to detail.• Work well under pressure to meet tight deadlines and support the business objectives to drive profitability"
Assistant Sales Manager,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,20 ~ 45,Full Time,Sales,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Excellent,Phnom Penh,"• Bachelor Degree in Sale and Marketing or business field • Interest in the educational sector. • Professional Communications in English and Khmer • Ability to listen to clients and hear their needs. • Motivated to produce sales. • Experience working in sales or with clients, a minimum of 2 years.• Aspired to the company’s core values: Responsibility, Development, Communication, Proactiveness, Openness, and Drive."
Digital Marketing Supervisor,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,3,4,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"* Requirements
- Proven experience as Digital Marketing Executive or similar role
- Excellent understanding of digital marketing concepts and best practices
- Experience with B2C social media, and email campaigns 
- Skills and experience in creative content writing
- Excellent communication and interpersonal skills
- BSc/BA in marketing or relevant field"
Infrastructure & Security Senior Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,25 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• University degree in IT, computer science, or the other related field• At least 2-years experiences in IT, Computer science, Telecom system, or related • Experienced implementing and maintaining cyber defense tools (IPS/IDS, Firewall; Anti-malware; EDR; SIEM, etc.,)• Have a good understanding of Operating systems, Networking, and Technology Risk and Countermeasure• Holding Cybersecurity certified associate is preferable.• Broad knowledge & experience in managing Linux, MS Platform,Network, Firewall (CCNP is a plus)• Dynamic, good time management, independent, self-motivated.• Good verbal and written English and problem-solving skill"
Recruitment Manager,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,5,5,Negotiable,Male/Female,25 ~ 45,Full Time,Human Resource,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Bachelor degree in Human Resource Management, Business Management, International Relations or any related field.• Minimum 5 years’ experience in recruitment and selection or any related file.• Strong communication and presentation skill.• Organization and time management skills."
"Supervisor, Client Service",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,2,1,Negotiable,Male/Female,20 ~ 40,Full Time,Customer Service,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Bachelor’s degree in business admin, management, or related fields• At least 2 years of working experience as customer services, client coordination or related • Strong negotiation, communication, and people skills• Good appearance, Organized, Multi-tasking & Independent• Good written, oral communication and presentation skills in English• Self-motivated, helpful, friendly, fast learner & love the challenges"
Digital Product Development Executive,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,2,1,Negotiable,Male/Female,20 ~ 40,Full Time,Media/Advertising,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,• Bachelor’s degree in related field;• At least 2 years of experience in project coordination;• Strong working knowledge of Microsoft Office and of project management tools;• Excellent client-facing and internal communication skills;• Excellent written and verbal communication skills;• Ability to execute under accelerated timeframes and to quickly adapt to changes;• Assist to supervisor/manager other assignment tasks;• Planning and coordinating;• Customer focus;• Concern for quality and standards.
Call Center Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Entry Level,1,5,Negotiable,Male/Female,Age Unlimited,Full Time,Customer Service,Real Estate,Bachelor Degree,~,Phnom Penh,"• Bachelor’s degree• Any experience in Customer Service, Contact Center, or Financial Services is a plus• Proficiency in English and Khmer• Previous experience in one of the areas is preferred: Customer Services, Contact Center, or Financial Services• Fast-learner and willing to learn• Excellent communication skills• Problem solving skill• A great match with our strong and value driven culture• Ability to build great teamwork and friendly working environment• willing to work in shifts"
Administrative Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,1,Negotiable,Male/Female,Age Unlimited,Full Time,Administration,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Requirement• Bachelor’s Degree in business admin or related field• At least 1- 2 years of working experience in customer service, admin and receptionist or related field• Be able to communicate well in both Khmer and English• Strong communication and interpersonal skills, details oriented, and results-driven with quality• Teamwork, adaptability, initiative, analytical, and ability to work fast and accurately under pressure• Strong work ethic and problem-solving skills with the ability to work independently"
Business Intelligence Senior Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,25 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree in IT, business intelligence, machine learning or related• At least 2 years of working experience as Business Intelligence, Customer Intelligence or related• Must know Power BI, Visual Basic for Applications (VBA), SQL• Independent, hard-working, fast learner, self-motivated, attention to the detail• Good communication in English both written and verbal• Good critical thinking, analytical skill, and problem-solving skill"
Quality Assurance,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,1,2,Negotiable,Male/Female,20 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Excellent,Phnom Penh,"• Bachelor’s Degree in computer science, information systems or comparable field required, undergraduate also welcome.• Understand working in an Agile/Scrum/Kanban development process.• Understand in software quality assurance.• Experience in writing clear, concise and comprehensive test plans and test cases.• English proficiency in both writing and speaking.• Good communication and interpersonal skills.• Fast learner, creative thinker, problems solver.• Good at teamwork, team player, highly motivated and self-manageable.• Knowledge of Microsoft Office and Email.• Comfortable with working flexible working hours depending upon business need."
Web Developer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,3,5,Negotiable,Male/Female,20 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor or Master's degree in computer science, coding or related technical field required
• 3-5 years of experience in web development
• Proficient in HTML, CSS, JavaScript, PHP, and other relevant web design coding languages
• Proficient in database systems such as Mysql Or Postgresql 
• Experience with server-side frameworks such as Laravel, Node JS, ASP.NET or Python
• Experience with web deployment on cloud server such as Amazon Web Service or Alibaba Cloud
• Solid knowledge with Git Control Version
• Good in communication, independent, committed, challenging type and able to work under pressure
• Excellent time management and organizational skills and experience establishing guidelines in these areas for others would be a plus
• Able to work under pressure and deal with complex tasks"
Accounting and Finance Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,1,1,Negotiable,Male/Female,20 ~ 45,Full Time,Finance,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Good,Phnom Penh,"• Bachelor’s degree in Accounting, Finance or relevant field• 1 years of experience in Accounting & Finance • Advanced knowledge of MS Excel and accounting software• Experience QuickBooks• Solid knowledge of accounting regulations• Attention to detail • Good in communication and convincing skills• Strong commitment, conscientious and result oriented"
Event Manager,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,5,1,Negotiable,Male/Female,25 ~ 45,Full Time,Marketing,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Degree in public relations, communication, marketing, hospitality management or related fields is preferred.• Proven experience as event manager• Knowledge of KPIs and marketing techniques for event management• Outstanding communication and negotiation ability• Project management experience• A team player with leadership skills• Highly Organized and be able to multi-task• Good time management• Proficiency in various event software• Expert interpersonal skills• Risk management experience"
Sale & Marketing Supervisor,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,3,1,Negotiable,Male/Female,25 ~ 35,Full Time,Sales,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Qualifications: - At least 4 years of experience in marketing and branding - Graduated in Marketing, business administration or equivalent major- Lead Sales and negotiation; appoint agents and distributors and work with them. - Help in developing new business, either by introducing new products or by entering new markets- Passion to serve the customer, with demonstrated success in customer-facing roles- Creative, resourceful, detail-oriented, and well-organized- Strong understanding of marketing, demand gen, and lead gen in residential real estate- Communication Good in English- Reporting, Microsoft offices- Convince ability, smart, flexible working but discipline, careful, helpful- Team work also can work independently"
Data Preprocessing Executive,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,1,Negotiable,Male/Female,20 ~ 40,Full Time,Others,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Requirements:• Bachelor’s degree• 1 years of experience in research field, or equivalent• Basic Computer Skill (Microsoft Word and Excel)• Intermediate or upper level of English• Detail Oriented• Knowledge in Real Estate• Passionate in coaching, and teaching,• Strong commitment, conscientious and result oriented• Excitement in supporting big team"
IT-Programing Teacher,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,1,3,Negotiable,Male/Female,20 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Excellent,Phnom Penh,"- Fresh Graduate or year 4 student, who has a good command of English
- Graduate in Bachelor in IT (Technical Skill)
- Bachelor in IT or relevant 
- Concept of design website, and games, and block code 
- Programming Python, HTML, CSS, C, and C++
- Database: MySQL 
- Love children 
- Believe in the power of education 
- Want to makes a difference through coding and programming 
- Critical thinking and problem-solving skills 
- Being a quick leaner"
Customer Service Executive,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,3,1,Negotiable,Male/Female,20 ~ 40,Full Time,Customer Service,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Requirements: • Bachelor’s degree in related fields• At least 2 years’ experience in customer service/property management • Excellent verbal and written communication in Khmer and English, addition language is a plus • Extensive knowledge of customer service procedures and principles• Ability to solve customer complaint and issues while maintaining professional and calm demeanor • Honest and punctual • Understanding of new business operations under the Covid-19 era• Able to swap the day off sometime according to business need"
HR Executive – Recruitment,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,1,Negotiable,Male/Female,20 ~ 40,Full Time,Human Resource,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Requirement:• Bachelor degree in related field• 1 year of working experience in recruitment or related field• Good in communication and fast learner• Strong commitment, conscientious, and result oriented • Independence and attention to details• Willing to experience and learn new things• Experience in real estate industry is a plus"
Accountant,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,3,2,Negotiable,Male/Female,Age Unlimited,Full Time,Accounting,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Master Degree/ Bachelor’s Degree in finance, economics, business, or Professional accounting qualification ACCA/ CFA/CPA• At least 3-5 years of working experience in financial, trading, investment or similar field• Professional written and oral communication skills in both Khmer & English• Ability to collaborate with upper management to organize, plan and achieve company financial goals• Ability to lead by example and demonstrate a strong sense of integrity • Adaptative, initiative, analytical, and ability to work fast and accurately under pressure• Ability to prioritize projects on tight deadlines and perform effectively in a challenging environment• Strong work ethic and problem-solving skills with the ability to work independently• Team Leader with a high level of professionalism and ability to fit in a team environment."
Senior Data Analyst,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,20 ~ 40,Full Time,Others,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree• 2-3 years of experience in Data Entry• Basic Computer Skill (Microsoft Word and Excel, Email )• Passionate in coaching, and teaching,• Good in communication and convincing skills• Strong commitment, conscientious and Result oriented• Excitement in supporting big team"
Data Collection Executive,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Entry Level,1,10,Negotiable,Male/Female,18 ~ 45,Full Time,Sales,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Good,Phnom Penh,"• Bachelor’s degree• 1 years of experience in Data Collection• Basic Computer Skill (Microsoft Word and Excel) • Be able to travel in Phnom Phnom and Provinces• Passionate in coaching, and teaching, • Good in communication and convincing skills• Strong commitment, conscientious and Result oriented • Excitement in supporting big team"
Research Assistant,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,4,Negotiable,Male/Female,20 ~ 40,Full Time,Education/Training,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor degree in English Literature, Research and Development or related field• A year experience in research or real estate is a plus• Experience in information searching and data mining • Computer Literacy• Good communication skill and able to work well within team • English proficiency: able to translate from Khmer to English and vice versa• Able to use Chinese to a plus • Able to travel if required"
Content Writer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,1,Negotiable,Male/Female,20 ~ 40,Full Time,Others,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Proven work experience as a Content Writer, Copywriter or similar role • Portfolio of published articles • Experience doing research using multiple sources • Familiarity with web publications • Excellent writing and editing skills in English • Hands-on experience with Content Management Systems (e.g. WordPress) • Ability to meet deadlines."
Data Analyst,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,2,1,Negotiable,Male/Female,20 ~ 40,Full Time,Education/Training,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree• Basic Computer Skill (Microsoft Word and Excel, Email )• Passionate in coaching, and teaching,• Good in communication and convincing skills• Strong commitment, conscientious and Result oriented• Excitement in supporting big team"
Business Analyst,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,25 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Requirement:• Bachelor’s degree, preferably in Computer Science, Business Management; further qualification such as Wordpress, Wesbite Deveopment, E-Commerce experience is a plus• The ability to produce the report in a clear and meaningful ways• Exceptional verbal, written, and visual communication skills• Deep experience with managing team and project• The ability to present findings in a polished way• Proficiency with statistics and dataset analytics• Strong collaboration and excellence communication skills• Initiative, flexibility and innovation• Show in depth investment knowledge-from previous experience in investment field or portfolio manager• The ability to research, analyze and evaluate."
Digital Marketing Manager,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,2,1,Negotiable,Male/Female,25 ~ 45,Full Time,Marketing,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• BS/MS degree in marketing or a related field • Proven working experience in digital marketing • Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns • Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate • Experience in optimizing landing pages and user funnels • Solid knowledge of website analytics tools (e.g., Google Analytics, NetInsight, Omniture, WebTrends) • Working knowledge of ad serving tools (e.g., DART, Atlas) • Experience in setting up and optimizing Google Adwords campaigns • Working knowledge of HTML, CSS, and JavaScript development and constraints • Strong analytical skills and data-driven thinking • Up-to-date with the latest trends and best practices in online marketing and measurement"
Research Manager,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,5,1,Negotiable,Male/Female,25 ~ 45,Full Time,Others,Real Estate,Master Degree,English-- Excellent,Phnom Penh,"• Master Degree or relevant equivalent experience• Minimum of 5 years’ experience in area of expertise• Knowledge of public policy relating to education, wellbeing or the economy (particularly skills policy)• Highly developed analytical skills • Highly numerate with the ability to research, assemble, manage and manipulate numerical information • Advanced knowledge of estimating strategies and techniques • Results orientated and organised with the ability to plan and deliver against deadlines• Strong technical mindset and able to read and interpret technical data and translate to others• Quantitative and qualitative research techniques and their appropriate usage• Expertise in research techniques, such as online surveying, CATI surveying, focus groups, depth interviewing, interview topic guide design• Knowledge of evaluation methodologies• Priorities workload for self and others Experience of managing a team • Experience of testing and prototyping • Distinguished record of creativity and innovation• Be able..."
Finance Analyst,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,3,1,Negotiable,Male/Female,25 ~ 45,Full Time,Finance,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• 3-5+ years of business finance analyst or other relevant experience• Finance, Accounting, Economics, or Statistics are preferred major fields• Strong quantitative and analytical competency• Proficiency in Microsoft Office (Words, Excel, and PowerPoint)• Dynamic, good communication both written & verbal, good teamwork"
